,drug_name
176,Acetasol
177,Acetasol HC
178,Acetazolamide
179,Acetic acid otic
180,Acetic acid topical
181,Acetic acid / aluminum acetate otic
182,Acetic acid / hydrocortisone otic
183,Acetocot
184,Acetohydroxamic acid
185,Acetoxyl
186,Acetylcholine ophthalmic
187,Acetylcysteine
188,Acetylsalicylic Acid
189,Ache and Pain Relief to Go
190,Achromycin V
191,Aci-Jel
192,Acid Control
193,Acid Control 150
194,Acid Control 75
195,Acid Controller Complete
196,Acid Controller Complete Dual Action
197,Acid Controller Maximum Strength
198,Acid Controller Original Strength
199,Acid Gone
200,Acid Gone Antacid
201,Acid Gone Extra Strength
202,Acid Jelly
203,Acid Phos Fluor Rinse
204,Acid Reducer
205,Acid Reducer Maximum Strength
206,Acid Reducer Non-Prescription Strength
207,Acid Reducer Original Strength
208,Acid Reducer Plus Antacid
209,Acid Reducer-Cimetidine
210,Acid Reducer-Famotidine
211,Acid Relief
212,Acidic Vaginal Jelly
213,AcidMantle
214,Acidophilus
215,Acidophilus Extra Strength
216,Acidophilus Probiotic Blend
217,Aciphex
218,Aciphex Sprinkle
219,Acitretin
220,Aclaro
221,Aclaro PD
222,Aclasta
223,Aclidinium
224,Aclidinium / formoterol
225,Aclovate
226,Acne & Blackhead Terminator
227,Acne & Oil Control
228,Acne and Blemish Target
229,Acne Astringent Toner Pads
230,Acne Cleansing Pads
231,Acne Cleansing Wipes
232,Acne Control Cleanser
233,ACNE FIGHTING FOUNDATION
234,ACNE FIGHTING ROLL ON GEL
235,Acne Lab Foam Cleanser
236,ACNE MEDICATION 10
237,ACNE MEDICATION 5
238,Acne Off Acne Treatment
239,Acne Off Acne Treatment Facial
240,Acne Solution
241,Acne Solution Clearing Concealer Acne Medication All Skin Types
242,ACNE SOLUTIONS CLARIFYING
243,ACNE SOLUTIONS CLEANSING BAR FOR FACE AND BODY
244,Acne Solutions Cleansing Foam
245,Acne Solutions Cleansing Gel
246,Acne Treatment
247,Acne-10
248,Acne-Aid
249,Acne-Clear
250,Acnepril
251,Acnevir
252,Acnevir Facial Wash
253,Acnex
254,Acnisal
255,Acnomel
256,Acnomel Acne Mask
257,Acnomel BP 5
258,Acnotex
259,Acova
260,Acrivastine / pseudoephedrine
261,ACT Fluoride Rinse
262,ACT Restoring Mouthwash Cinnamon
263,ACT Restoring Mouthwash Mint
264,ACT Restoring Mouthwash Spearmint
265,ACT Restoring Mouthwash Vanilla Mint
266,Acta-Tabs PE
267,Actacin
268,Actagen
269,Actamin
270,Actedril
271,Actemra
272,ACTH
273,Acthar
274,ActHIB
275,Acthrel
276,Actibine
277,Acticin
278,Acticlate
279,Acticon
280,Acticort 100
281,Actidogesic
282,Actidose Plus Sorbitol
283,Actidose with Sorbitol
284,Actidose-Aqua
285,Actidose-Aqua Advance
286,Actifed
287,Actifed Allergy Day / Night
288,Actifed CC Chesty Cough
289,Actifed Cold and Allergy
290,Actifed Sinus Day and Night
291,Actiflovit
292,Actigall
293,Actimmune
294,Actimol Children's
295,Actimol Infant
296,Actiprofen
297,Actiq
298,Actisite
299,Activase
300,Activated Charcoal
301,Active Carbon
302,Active Fe
303,Active OB
304,Active OB DHA
305,Activella
306,ActivICE
307,ActivOn Arthritis
308,ActivOn Joint & Muscle
309,Actonel
310,Actonel with Calcium
311,ActoPlus Met
312,ActoPlus Met XR
313,Actos
314,Actron
315,Acuflex
316,Acular
317,Acular LS
318,Acular PF
319,Acuprin 81
320,Acutrim 16 Hour
321,"Acutrim II, Maximum Strength"
322,Acutrim Late Day
323,Acuvail
324,Acyclovir
325,Acyclovir topical
326,Acyclovir / hydrocortisone topical
327,Acys-5
328,Aczone
329,Adacel (Tdap)
330,Adagen
331,Adakveo
332,Adalat
333,Adalat CC
334,Adalimumab
335,Adapalene topical
336,Adapalene / benzoyl peroxide topical
337,Adapin
338,Adasept Acne
339,Adasuve
340,Adbeon
341,Adcetris
342,Adcirca
343,Addaprin
344,Adderall
345,Adderall XR
346,Addyi
347,Adeflor M
348,Adefovir
349,Adeks
350,Adempas
351,Adeno-jec
352,Adenocard
353,Adenoscan
354,Adenosine
355,Adenovirus vaccine
356,Adgan
357,Adgyn Estro
358,Adhansia XR
359,Adipex-P
360,Adipost
361,Adlone-40
362,Adlone-80
363,Adlyxin
364,Admelog
365,Ado-trastuzumab emtansine
366,Adomet
367,Adoxa
368,Adoxa CK
369,Adoxa Pak
370,Adoxa TT
371,Adprin B
372,Adrenaclick
373,Adrenalin
374,Adrenalin Chloride
375,Adrenalin Topical
376,Adrenocot
377,Adrenocot LA
378,AdreView
379,Adriamycin
380,Adriamycin PFS
381,Adriamycin RDF
382,Adrucil
383,Adsorbocarpine
384,Adsorbonac
385,Adsorbotear
386,Aducanumab
387,Aduhelm
388,"Adult Cold, Flu & Sore Throat"
389,Adult Strength
390,Advair Diskus
391,Advair HFA
392,Advance Care Plus
393,Advanced AM / PM
394,Advanced Eye Health
395,Advanced Eye Relief
396,Advanced Formula Di-Gel
397,Advantage 24 Contraceptive
398,Advantage-S
399,Advate
400,Advicor
401,Advil
402,Advil Allergy and Congestion Relief
403,Advil Allergy Sinus
404,Advil Children's
405,Advil Children's Allergy Sinus
406,Advil Children's Cold
407,Advil Cold and Sinus
408,Advil Cold and Sinus Liqui-Gels
409,Advil Congestion Relief
410,Advil Dual Action
411,Advil Film-Coated
412,Advil Infant's Concentrated Drops
413,Advil Junior Strength
414,Advil Liqui-Gels
415,Advil Migraine
416,Advil Multi-Symptom Cold & Flu
417,Advil PM
418,Advil Sinus Congestion & Pain
419,Adynovate
420,Adzenys ER
421,Adzenys XR-ODT
422,Aemcolo
423,AER Witch Hazel
424,Aerius
425,Aero Otic HC
426,Aerobid
427,Aerobid-M
428,Aerodine
429,Aerodiol
430,Aerohist Plus
431,Aerokid
432,Aerolate III
433,Aerolate JR
434,Aerolate SR
435,Aeroseb-HC
436,Aerospan HFA
437,Aerozoin
438,Afamelanotide
439,Afatinib
440,Afeditab CR
441,Afinitor
442,Afinitor Disperz
443,Afirmelle
444,Aflaxen
445,Aflexeryl-MC
446,Aflibercept ophthalmic
447,Afluria
448,Afluria Preservative-Free Pediatric Quadrivalent
449,Afluria Preservative-Free Quadrivalent
450,Afluria Quadrivalent
451,Afrezza
452,Afrin
453,Afrin 4 Hour Extra Moisturizing
454,Afrin Allergy Sinus Nasal Spray
455,Afrin Menthol Saline
456,Afrin NoDrip Allergy Sinus
457,Afrin NoDrip Extra Moisturizing
458,Afrin NoDrip Original
459,Afrin NoDrip Severe Congestion
460,Afrin NoDrip Sinus
461,Afrin Original
462,Afrin Saline
463,Afrin Severe Congestion
464,Afrin Sinus
465,Afrinol
466,Afstyla
467,Aftate
468,Aftate For Athletes Foot
469,Aftate For Jock Itch
470,Aftera
471,AfterPill
472,AfterPlan
473,Agalsidase beta
474,Agenerase
475,Aggrastat
476,Aggrenox
477,AgonEaze
478,Agoral
479,Agriflu
480,Agrylin
481,AH-Chew
482,AH-Chew D
483,AH-Chew II
484,Ah-chew Ultra
485,Ah-Chew Ultra Tannate
486,Aimovig
487,Air Power
488,Airacof
489,Airborne
490,Airborne Dual Action
491,Airborne Everyday
492,Airborne Everyday Gummies
493,Airborne Gummies
494,Airborne Kids Gummies
495,Airborne Plus Energy
496,AirDuo Digihaler
497,AirDuo Respiclick
498,Airet
499,Ajovy
500,AK-Beta
501,AK-Cide
502,AK-Con
503,AK-Con-A
504,AK-Dex
505,AK-Dilate
506,AK-Fluor
507,AK-NaCl
508,AK-Nefrin
509,AK-Neo-Dex
510,Ak-Pentolate
511,AK-Poly-Bac
512,AK-Pred
513,AK-Pro
514,AK-Spore
515,AK-Spore HC Otic Suspension
516,AK-Spore Ointment
517,AK-Sulf
518,AK-T-Caine
519,AK-Taine
520,AK-Tob
521,AK-Tracin
522,AK-Trol
523,Akarpine
524,AKEDamins
525,Akineton
526,Akineton HCl
527,Aklief
528,Akne-Mycin
529,Akovaz
530,Akten
531,Aktipak
532,Akurza
533,Akwa Tears
534,Akynzeo
535,Akynzeo for Injection
536,Ala Seb
537,Ala Seb T
538,Ala-Cort
539,Ala-Hist AC
540,Ala-Hist IR
541,Ala-Hist PE
542,Ala-Quin
543,Ala-Scalp
544,Ala-Scalp HP
545,Ala-Tet
546,Alacol
547,Alacol DM
548,Alagesic
549,Alagesic LQ
550,Alahist CF
551,Alahist D
552,Alahist DHC
553,Alahist DM
554,Alahist DM (old formulation)
555,Alahist LQ
556,Alamag
557,Alamag Plus
558,Alamast
559,Alavert
560,Alavert D-12 Hour Allergy and Sinus
561,Alaway
562,Albalon
563,Albatussin
564,Albatussin Pediatric
565,Albatussin Pediatric Drops
566,Albatussin SR
567,Albendazole
568,Albenza
569,Albiglutide
570,Albolene Moisturizing Cleanser
571,Albuked
572,Albuked 25
573,Albuked 5
574,Albumarc
575,Albumin aggregated
576,Albumin human
577,Albumin-Alpine
578,Albumin-ZLB
579,Albuminar-20
580,Albuminar-25
581,Albuminar-5
582,Albuminex
583,Albunex
584,Alburx
585,Albutein
586,Albuterol
587,Albuterol / ipratropium
588,Alcaftadine ophthalmic
589,Alcaine
590,Alcalak
591,Alcare Plus
592,Alclometasone topical
593,Alconefrin-12
594,Alconefrin-25
595,Alcortin
596,Alcortin A
597,Aldactazide
598,Aldactone
599,Aldara
600,Aldesleukin
601,Aldex
602,Aldex AN
603,Aldex AN Chewable
604,Aldex D
605,Aldex DM
606,Aldex G
607,Aldex GS
608,Aldex GS DM
609,Aldex-CT
610,Aldi Hedanol Paracetamol
611,Aldoclor-150
612,Aldoclor-250
613,Aldomet
614,Aldoril
615,Aldoril 15
616,Aldoril 25
617,Aldoril D30
618,Aldoril D50
619,Aldroxicon I
620,Aldroxicon II
621,Aldurazyme
622,Alecensa
623,Alectinib
624,Alefacept
625,Alegenix
626,Alemtuzumab
627,Alenaze-D
628,Alenaze-D NR
629,Alendronate
630,Alendronate / cholecalciferol
631,Alenic Alka
632,Alenic Alka Tablet
633,Aler-Dryl
634,Aler-Tab
635,Alera
636,Alert
637,Alesse
638,Alesse-21
639,Alesse-28
640,Aleve
641,Aleve PM
642,Aleve-D Sinus & Cold
643,Aleve-D Sinus & Headache
644,Aleveer Patch
645,Alfenta
646,Alfentanil
647,Alferon N
648,Alfuzosin
649,Alginic acid / aluminum hydroxide / magnesium carbonate
650,Alginic acid / aluminum hydroxide / magnesium trisilicate
651,Alglucosidase alfa
652,Ali-Flex
653,Aliclen
654,Alidrin
655,Alimta
656,Alinia
657,Aliqopa
658,Alirocumab
659,Aliskiren
660,Aliskiren / amlodipine
661,Aliskiren / amlodipine / hydrochlorothiazide
662,Aliskiren / hydrochlorothiazide
663,Aliskiren / valsartan
664,Alitretinoin topical
665,Alive Women's Energy
666,Alivio Patch
667,Alka-Mints
668,Alka-Seltzer Anti-Gas
669,Alka-Seltzer Cool Action Heartburn Relief Gum
670,Alka-Seltzer Extra Strength
671,Alka-Seltzer Fruit Chews (Antacid)
672,Alka-Seltzer Gold
673,Alka-Seltzer Heartburn + Gas
674,Alka-Seltzer Heartburn + Gas ReliefChews
675,Alka-Seltzer Heartburn ReliefChews
676,Alka-Seltzer Lemon-Lime
677,Alka-Seltzer Original
678,Alka-Seltzer Plus Allergy
679,Alka-Seltzer Plus Cold
680,Alka-Seltzer Plus Cold and Sinus
681,Alka-Seltzer Plus Cold Formula Cherry Burst Effervescent Tablets
682,Alka-Seltzer Plus Cold Formula Orange Zest Effervescent Tablets
683,Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets
684,Alka-Seltzer Plus Day Severe Cold+Flu Hot Drink Mix
685,Alka-Seltzer Plus Flu Formula (old formulation)
686,Alka-Seltzer Plus Flu / Body
687,Alka-Seltzer Plus Immunity Complex
688,Alka-Seltzer Plus Maximum Strength Cold & Cough
689,Alka-Seltzer Plus Maximum Strength Cold & Cough Liquid Gels
690,Alka-Seltzer Plus Maximum Strength Cough & Mucus DM
691,Alka-Seltzer Plus Maximum Strength Day & Night Cold & Flu Liquid Gels (Night Formula)
692,Alka-Seltzer Plus Maximum Strength Day Cold & Flu Liquid Gels
693,Alka-Seltzer Plus Maximum Strength Night Cold & Flu Liquid Gels
694,Alka-Seltzer Plus Multi-Symptom Cold & Flu (Night Formula)
695,Alka-Seltzer Plus Multi-Symptom Cold & Flu Day & Night Liquid Gels (Night Formula)
696,Alka-Seltzer Plus Multi-Symptom Cold & Flu Day Liquid Gels
697,Alka-Seltzer Plus Night Cold Formula Liquid
698,Alka-Seltzer Plus Night Severe Cold+Flu Hot Drink Mix
699,Alka-Seltzer Plus Severe Cold & Flu Formula Effervescent Tablets
700,"Alka-Seltzer Plus Severe Cold, Mucus & Congestion"
701,Alka-Seltzer Plus Severe Cold+Cough Night Liquid
702,"Alka-Seltzer Plus Severe Cough, Mucus & Congestion Liquid Gels"
703,Alka-Seltzer Plus Severe Sinus & Cold Hot Drink Mix
704,Alka-Seltzer Plus Severe Sinus Congestion & Cough (Night Formula)
705,Alka-Seltzer Plus Severe Sinus Congestion & Cough Liquid Gels
706,"Alka-Seltzer Plus Severe Sinus Congestion, Allergy & Cough Liquid Gels"
707,"Alka-Seltzer Plus Severe Sinus, Cold & Cough Liquid Gels"
708,Alka-Seltzer Plus-D Multi-Symptom Sinus & Cold Liquid Gels
709,Alka-Seltzer PM
710,Alka-Seltzer Wake-Up Call!
711,Alkabel-SR
712,Alkeran
713,Alkets
714,Alkindi Sprinkle
715,Alkums
716,All Clear
717,All Clear AR
718,All Day Allergy
719,All Day Allergy Children's
720,All Day Allergy-D
721,All Day Pain Relief
722,All Day Relief
723,All-Nite Cold
724,All-Nite Multi-Symptom Cold / Flu Relief
725,Allan Tannate Pediatric
726,Allanderm-T
727,AllanEnzyme
728,AllanfillEnzyme
729,Allanhist PDX Drops
730,Allanhist PDX Syrup
731,AllanTex
732,Allantoin / camphor / phenol topical
733,Allanzyme
734,Allbee Plus
735,Allbee with C
736,Allbee-C
737,Allbee-C 800
738,Allbee-C 800 with Iron
739,Allegra
740,Allegra Allergy
741,Allegra Hives
742,Allegra ODT
743,Allegra-D 12 Hour
744,Allegra-D 12 Hour Allergy & Congestion
745,Allegra-D 24 Hour
746,Allegra-D 24 Hour Allergy & Congestion
747,Allens Junior Cough
748,Allent
749,Aller-Chlor
750,Aller-Chlor Decongestant
751,Aller-Dryl
752,Aller-Ease
753,Aller-G-Time
754,Aller-Tec
755,Aller-Tec Children's
756,AllerClear D-24 Hour
757,Allercon
758,AllerDur
759,Allerest 12 Hour Nasal Spray
760,Allerest Eye Drops
761,Allerest Maximum Strength
762,Allerest No Drowsiness
763,Allerest PE
764,Allerfrim
765,Allerfrin
766,Allergen
767,Allergia-C
768,Allergy & Congestion Relief
769,Allergy D-12
770,Allergy DN PE
771,Allergy Multi-Symptom
772,Allergy Pain Relief
773,Allergy Relief
774,Allergy Relief 24 Hour
775,Allergy Relief D
776,Allergy Relief D 24 Hour
777,Allergy Relief D12
778,Allergy Relief Tablets
779,Allergy Sinus PE Pain Relief
780,Allergy Time
781,Allerhist-1
782,Allerhist-D
783,AllerLife Energize Daily Wellness Support
784,AllerLife Sleep Daily Wellness Support
785,AllerLife Vitality Daily Wellness Support
786,Allermax
787,Allermed
788,Allernaze
789,Alleroff
790,Allerphed
791,Allersol
792,AllerTan
793,AlleRx
794,AlleRx Dose Pack
795,AlleRx Dose Pack (AM Dose)
796,AlleRx Dose Pack (PM Dose)
797,AlleRx Dose Pack PE (AM Dose)
798,AlleRx Dose Pack PE (PM Dose)
799,Allerx-D
800,Allfen
801,Allfen C
802,Allfen CD
803,Allfen CDX
804,Allfen CX
805,Allfen DM
806,Allfen Jr
807,Alli
808,Allopurinol
809,Allopurinol / lesinurad
810,Allpanto-S
811,Allres D
812,Allres DS
813,Allres Pd
814,Allres-G
815,Allzital
816,Almacone
817,Almacone-2
818,Almora
819,Almotriptan
820,Alocane Plus
821,Alocril
822,Alodox
823,Aloe Cort
824,Aloe Grande
825,Aloe polysaccharides / iodoquinol topical
826,Aloe Vera Burn Relief Spray with Lidocaine
827,Aloe Vera Liniment
828,Aloe vera topical
829,Aloe vera / hydrocortisone / iodoquinol topical
830,Aloe Vesta
831,Aloe Vesta 2 -n- 1
832,Aloe Vesta 2 in 1 Antifungal
833,Aloe Vesta Body Wash & Shampoo
834,Aloe Vesta Cleansing Foam
835,Aloe Vesta Cream
836,Aloe Vesta Perineal / Skin Cleanser
837,Aloe Vesta Protective
838,Aloe Vesta Protein Ointment
839,Aloe Vesta Skin Conditioner
840,Alogliptin
841,Alogliptin / metformin
842,Alogliptin / pioglitazone
843,Aloh-Gel
844,Alomide
845,Alophen
846,Aloprim
847,Aloquin
848,Alora
849,Alosetron
850,Aloxi
851,Alpain
852,Alpelisib
853,Alpha 1-proteinase inhibitor
854,Alpha E
855,Alpha First Aid Supplies Paracetamol
856,Alpha-d-galactosidase
857,Alpha-lipoic acid
858,Alpha-Lipoic-Acid-300
859,Alphagan
860,Alphagan P
861,Alphanate
862,Alphanine SD
863,Alphapharm Paracetamol
864,Alphaquin HP
865,AlphaSoft
866,Alphatrex
867,Alphosyl
868,Alphosyl 2 in 1
869,Alprazolam
870,Alprazolam Intensol
871,Alprolix
872,Alprostadil
873,Alquam-X Acne Therapy Gel
874,Alramucil
875,Alrex
876,Alsuma
877,Altabax
878,Altacaine
879,Altace
880,Altachlore
881,Altafed
882,Altaflor
883,Altafrin
884,Altalube
885,Altamist
886,Altarussin
887,Altarussin CF
888,Altarussin DM
889,Altarussin PE
890,Altaryl
891,Altavera
892,Altazine
893,Altenol
894,Alteplase
895,Alternagel
896,Altinac
897,Altocor
898,Altoprev
899,Altorant
900,Altreno
901,Altretamine
902,Alu-Cap
903,Alu-Tab
904,Aluminum acetate topical
905,Aluminum chloride hexahydrate topical
906,Aluminum hydroxide
907,Aluminum hydroxide / magnesium carbonate
908,Aluminum hydroxide / magnesium hydroxide
909,Aluminum hydroxide / magnesium hydroxide / simethicone
910,Aluminum hydroxide / magnesium trisilicate
911,Aluminum sulfate / calcium acetate topical
912,Alunbrig
913,Alupent
914,Alustra
915,Aluvea
916,Alvedon
917,Alvesco
918,Alvimopan
919,Alyacen 1 / 35
920,Alyacen 7 / 7 / 7
921,Alyq
922,Alz-Nac
923,Amabelz
924,Amadol Paracetamol
925,Amantadine
926,Amaryl
927,Ambenyl-D
928,AMBI 1000 / 5
929,Ambi 1000 / 55
930,Ambi 40 / 400 / 20
931,Ambi 40 / 1000
932,Ambi 40 / 1000 / 60
933,Ambi 5 / 15 / 100
934,Ambi 60 / 1000
935,Ambi 60 / 580
936,Ambi 60 / 580 / 30
937,Ambi 600 / 1000 / 30
938,Ambi 80 / 780
939,Ambi 80 / 780 / 40
940,AMBI Fade
941,Ambien
942,Ambien CR
943,Ambifed
944,Ambifed CD
945,Ambifed CDX
946,Ambifed DM
947,Ambifed-G
948,Ambifed-G CD
949,Ambifed-G CDX
950,Ambifed-G DM
951,AmBisome
952,Ambrisentan
953,Amcal Anti Itch Bath Solution
954,Amcal Childrens Paracetamol 1-5 Years
955,Amcal Childrens Paracetamol 5-12 Years
956,Amcal Paracetamol Infant Drops 1 Month to 2 Years
957,Amcal Paracetamol Pain Relief
958,Amcal Paracetamol Tabsules
959,Amcinonide topical
960,Amdry-D
961,Ameluz
962,Amen
963,Amerge
964,Americaine
965,Americaine Anesthetic Lubricant
966,Americaine Hemorrhoidal
967,AmeriCerin
968,Americet
969,AmeriDerm PeriShield
970,Amerigel Barrier
971,Amerigel Care
972,Ameripatch
973,AmeriPhor
974,AmeriStore
975,Amersham Indium (111In) Oxine
976,Amethia
977,Amethia Lo
978,Amethyst
979,Amevive
980,Ami-Lac
981,Ami-Natal Plus One Improved
982,Ami-Tex LA
983,Ami-Tex PSE
984,Amibid DM
985,Amibid LA
986,Amicar
987,Amidal
988,Amidate
989,Amidrine
990,Amifampridine
991,Amifostine
992,Amigesic
993,Amikacin
994,Amikacin liposome
995,Amikin
996,Amikin Pediatric
997,Amiloride
998,Amiloride / hydrochlorothiazide
999,Aminatal Plus
1000,Aminatal Plus New Formula
1001,Aminatal Plus One
1002,Aminate
1003,Aminate with 90 mg Iron
1004,Aminess
1005,Amino-Opti-C
1006,Amino-Opti-E
1007,Aminocaproic acid
1008,Aminofen
1009,Aminoglutethimide
1010,Aminolevulinic acid
1011,Aminolevulinic acid topical
1012,Aminomine
1013,Aminophylline
1014,AminoProtect
1015,Aminosalicylic acid
1016,Aminosyn
1017,Aminosyn II
1018,"Aminosyn II 3.5%-Dextrose 25%,Electrolytes,Ca"
1019,"Aminosyn II 4.25%-Dextrose 20%,Electrolyte,Ca"
1020,"Aminosyn II 4.25%-Dextrose 25%,Electrolyte,Ca"
1021,Aminosyn II Sulfite-Free
1022,Aminosyn II with 25% Dextrose
1023,Aminosyn II with Dextrose
1024,Aminosyn II with Electrolytes
1025,Aminosyn II with Electrolytes Sulfite-Free
1026,Aminosyn Sulfite-Free
1027,Aminosyn with Electrolytes
1028,Aminosyn with Electrolytes Sulfite-Free
1029,Aminosyn-HBC
1030,Aminosyn-HBC Sulfite-Free
1031,Aminosyn-HF
1032,Aminosyn-PF
1033,Aminosyn-PF Sulfite-Free
1034,Aminosyn-RF
1035,Aminosyn-RF Sulfite-Free
1036,Aminoxin
1037,Amiodarone
1038,Amisulpride
1039,Amitex LA
1040,Amitiza
1041,Amitone
1042,Amitriptyline
1043,Amitriptyline / chlordiazepoxide
1044,Amitriptyline / perphenazine
1045,Amivantamab
1046,Amjevita
1047,AmLactin
1048,AmLactin Cerapeutic
1049,Amlactin Ultra
1050,Amlactin XL
1051,Amlexanox topical
1052,Amlobenz
1053,Amlodipine
1054,Amlodipine / atorvastatin
1055,Amlodipine / benazepril
1056,Amlodipine / celecoxib
1057,Amlodipine / hydrochlorothiazide / olmesartan
1058,Amlodipine / hydrochlorothiazide / valsartan
1059,Amlodipine / olmesartan
1060,Amlodipine / perindopril
1061,Amlodipine / telmisartan
1062,Amlodipine / valsartan
1063,Ammens Medicated
1064,Ammonium lactate topical
1065,Ammonium lactate / halobetasol topical
1066,Ammonium lactate / urea topical
1067,Ammonul
1068,Amnesteem
